s_city_id,s_start,s_lat,s_lon,s_country,s_Volume,e_city_id,e_end,e_lat,e_lon,e_country,e_vol
183,Canada,56,-109,Canada,765122,70,REC Silicon,45.970868,-112.688913,United States of America,1
183,Canada,56,-109,Canada,765122,71,OCI Plant,35.979712,126.662835,South Korea,1
183,Canada,56,-109,Canada,765122,72,OCI Malaysia,3.544446,113.305171,Malaysia,1
183,Chile,-31,-71,Chile,765122,73,NorSun AS,61.236838,7.706991,Norway,1
183,Chile,-31,-71,Chile,765122,74,Wacker Chemier,51.298992,13.39515,Germany,1
183,Chile,-31,-71,Chile,765122,75,Hemlock,43.436264,-84.160654,United States of America,1
183,Chile,-31,-71,Chile,765122,76,Wacker Polysilicon,35.283907,-84.796076,United States of America,1
183,Chile,-31,-71,Chile,765122,77,REC Silicon ASA,59.90261,10.631623,Norway,1
183,Chile,-31,-71,Chile,765122,78,REC Silicon,47.134918,-119.198713,United States of America,1
183,Chile,-31,-71,Chile,765122,79,REC Silicon,45.970868,-112.688913,United States of America,1
183,Chile,-31,-71,Chile,765122,80,OCI Plant,35.979712,126.662835,South Korea,1
183,Chile,-31,-71,Chile,765122,81,OCI Malaysia,3.544446,113.305171,Malaysia,1
183,Peru,-8,-78,Peru,765122,82,NorSun AS,61.236838,7.706991,Norway,1
183,Peru,-8,-78,Peru,765122,83,Wacker Chemier,51.298992,13.39515,Germany,1
183,Peru,-8,-78,Peru,765122,84,Hemlock,43.436264,-84.160654,United States of America,1
183,Peru,-8,-78,Peru,765122,85,Wacker Polysilicon,35.283907,-84.796076,United States of America,1
183,Peru,-8,-78,Peru,765122,86,REC Silicon ASA,59.90261,10.631623,Norway,1
183,Peru,-8,-78,Peru,765122,87,REC Silicon,47.134918,-119.198713,United States of America,1
183,Peru,-8,-78,Peru,765122,88,REC Silicon,45.970868,-112.688913,United States of America,1
183,Peru,-8,-78,Peru,765122,89,OCI Plant,35.979712,126.662835,South Korea,1
183,Peru,-8,-78,Peru,765122,90,OCI Malaysia,3.544446,113.305171,Malaysia,1
