s_city_id,s_start,s_lat,s_lon,s_country,s_Volume,e_city_id,e_end,e_lat,e_lon,e_country,e_vol
262,REC Silicon ASA,59.90261,10.631623,Norway,666365,60,TEMASOL,33.998192,-6.846631,Morocco,1
262,REC Silicon ASA,59.90261,10.631623,Norway,666365,61,Modco,14.27815,121.065836,Philipines,1
262,REC Silicon ASA,59.90261,10.631623,Norway,666365,62,Mexicali,32.622782,-115.532608,Mexico,1
262,REC Silicon ASA,59.90261,10.631623,Norway,666365,63,Toulouse,43.601634,1.358577,France,1
262,REC Silicon ASA,59.90261,10.631623,Norway,666365,64,De Vernejoul,49.168314,6.660245,France,1
262,REC Silicon,47.134918,-119.198713,United States of America,666365,65,Malaysia,2.34049,102.21123,Malaysia,1
262,REC Silicon,47.134918,-119.198713,United States of America,666365,66,France,45.816077,4.726069,France,1
183,REC Silicon,47.134918,-119.198713,United States of America,765122,67,Fab 4,14.27618,121.135141,Philipines,1
183,REC Silicon,47.134918,-119.198713,United States of America,765122,68,Fab 2,14.137501,121.135141,Philipines,1
183,REC Silicon,47.134918,-119.198713,United States of America,765122,69,Brighton,-37.905482,144.999517,Australia,1
183,REC Silicon,47.134918,-119.198713,United States of America,765122,70,Richmond,37.910501,-122.358354,United States of America,1
183,REC Silicon,47.134918,-119.198713,United States of America,765122,71,San Jose,37.404787,-121.946716,United States of America,1
183,REC Silicon,47.134918,-119.198713,United States of America,765122,72,Cape Town,-33.968293,18.576651,South Africa,1
183,REC Silicon,47.134918,-119.198713,United States of America,765122,73,TEMASOL,33.998192,-6.846631,Morocco,1
183,REC Silicon,47.134918,-119.198713,United States of America,765122,74,Modco,14.27815,121.065836,Philipines,1
183,REC Silicon,47.134918,-119.198713,United States of America,765122,75,Mexicali,32.622782,-115.532608,Mexico,1
183,REC Silicon,47.134918,-119.198713,United States of America,765122,76,Toulouse,43.601634,1.358577,France,1
183,REC Silicon,47.134918,-119.198713,United States of America,765122,77,De Vernejoul,49.168314,6.660245,France,1
183,REC Silicon,45.970868,-112.688913,United States of America,765122,78,Malaysia,2.34049,102.21123,Malaysia,1
183,REC Silicon,45.970868,-112.688913,United States of America,765122,79,France,45.816077,4.726069,France,1
183,REC Silicon,45.970868,-112.688913,United States of America,765122,80,Fab 4,14.27618,121.135141,Philipines,1
183,REC Silicon,45.970868,-112.688913,United States of America,765122,81,Fab 2,14.137501,121.135141,Philipines,1
183,REC Silicon,45.970868,-112.688913,United States of America,765122,82,Brighton,-37.905482,144.999517,Australia,1
183,REC Silicon,45.970868,-112.688913,United States of America,765122,83,Richmond,37.910501,-122.358354,United States of America,1
183,REC Silicon,45.970868,-112.688913,United States of America,765122,84,San Jose,37.404787,-121.946716,United States of America,1
183,REC Silicon,45.970868,-112.688913,United States of America,765122,85,Cape Town,-33.968293,18.576651,South Africa,1
183,REC Silicon,45.970868,-112.688913,United States of America,765122,86,TEMASOL,33.998192,-6.846631,Morocco,1
183,REC Silicon,45.970868,-112.688913,United States of America,765122,87,Modco,14.27815,121.065836,Philipines,1
183,REC Silicon,45.970868,-112.688913,United States of America,765122,88,Mexicali,32.622782,-115.532608,Mexico,1
183,REC Silicon,45.970868,-112.688913,United States of America,765122,89,Toulouse,43.601634,1.358577,France,1
183,REC Silicon,45.970868,-112.688913,United States of America,765122,90,De Vernejoul,49.168314,6.660245,France,1
183,OCI Plant,35.979712,126.662835,South Korea,765122,91,Malaysia,2.34049,102.21123,Malaysia,1
183,OCI Plant,35.979712,126.662835,South Korea,765122,92,France,45.816077,4.726069,France,1
183,OCI Plant,35.979712,126.662835,South Korea,765122,93,Fab 4,14.27618,121.135141,Philipines,1
183,OCI Plant,35.979712,126.662835,South Korea,765122,94,Fab 2,14.137501,121.135141,Philipines,1
183,OCI Plant,35.979712,126.662835,South Korea,765122,95,Brighton,-37.905482,144.999517,Australia,1
183,OCI Plant,35.979712,126.662835,South Korea,765122,96,Richmond,37.910501,-122.358354,United States of America,1
183,OCI Plant,35.979712,126.662835,South Korea,765122,97,San Jose,37.404787,-121.946716,United States of America,1
