s_start,s_lat,s_lon,s_country,e_end,e_lat,e_lon,e_country
Peru,-8,-78,Peru,REC Silicon,45.970868,-112.688913,United States of America
Peru,-8,-78,Peru,OCI Plant,35.979712,126.662835,South Korea
Peru,-8,-78,Peru,OCI Malaysia,3.544446,113.305171,Malaysia
NorSun AS,61.236838,7.706991,Norway,France,45.816077,4.726069,France
NorSun AS,61.236838,7.706991,Norway,Fab 4,14.27618,121.135141,Philipines
NorSun AS,61.236838,7.706991,Norway,Fab 2,14.137501,121.135141,Philipines
NorSun AS,61.236838,7.706991,Norway,Brighton,-37.905482,144.999517,Australia
NorSun AS,61.236838,7.706991,Norway,Richmond,37.910501,-122.358354,United States of America
NorSun AS,61.236838,7.706991,Norway,San Jose,37.404787,-121.946716,United States of America
NorSun AS,61.236838,7.706991,Norway,Cape Town,-33.968293,18.576651,South Africa
NorSun AS,61.236838,7.706991,Norway,TEMASOL,33.998192,-6.846631,Morocco
NorSun AS,61.236838,7.706991,Norway,Modco,14.27815,121.065836,Philipines
NorSun AS,61.236838,7.706991,Norway,Mexicali,32.622782,-115.532608,Mexico
NorSun AS,61.236838,7.706991,Norway,Malaysia,2.34049,102.21123,Malaysia
Wacker Chemier,51.298992,13.39515,Germany,France,45.816077,4.726069,France
Wacker Chemier,51.298992,13.39515,Germany,Fab 4,14.27618,121.135141,Philipines
Wacker Chemier,51.298992,13.39515,Germany,Fab 2,14.137501,121.135141,Philipines
Wacker Chemier,51.298992,13.39515,Germany,Brighton,-37.905482,144.999517,Australia
Wacker Chemier,51.298992,13.39515,Germany,Richmond,37.910501,-122.358354,United States of America
Wacker Chemier,51.298992,13.39515,Germany,San Jose,37.404787,-121.946716,United States of America
Wacker Chemier,51.298992,13.39515,Germany,Cape Town,-33.968293,18.576651,South Africa
Wacker Chemier,51.298992,13.39515,Germany,TEMASOL,33.998192,-6.846631,Morocco
Wacker Chemier,51.298992,13.39515,Germany,Modco,14.27815,121.065836,Philipines
Wacker Chemier,51.298992,13.39515,Germany,Mexicali,32.622782,-115.532608,Mexico
Wacker Chemier,51.298992,13.39515,Germany,Malaysia,2.34049,102.21123,Malaysia
Hemlock,43.436264,-84.160654,United States of America,France,45.816077,4.726069,France
Hemlock,43.436264,-84.160654,United States of America,Fab 4,14.27618,121.135141,Philipines
Hemlock,43.436264,-84.160654,United States of America,Fab 2,14.137501,121.135141,Philipines
Hemlock,43.436264,-84.160654,United States of America,Brighton,-37.905482,144.999517,Australia
Hemlock,43.436264,-84.160654,United States of America,Richmond,37.910501,-122.358354,United States of America
Hemlock,43.436264,-84.160654,United States of America,San Jose,37.404787,-121.946716,United States of America
Hemlock,43.436264,-84.160654,United States of America,Cape Town,-33.968293,18.576651,South Africa
Hemlock,43.436264,-84.160654,United States of America,TEMASOL,33.998192,-6.846631,Morocco
Hemlock,43.436264,-84.160654,United States of America,Modco,14.27815,121.065836,Philipines
Hemlock,43.436264,-84.160654,United States of America,Mexicali,32.622782,-115.532608,Mexico
